"T","kappa","Y","Lambda"
"1",280,0,1,7.10882464480872e-14
"2",280.25,0,1,4.19425678047843e-14
"3",280.5,0,1,2.42679014556361e-14
"4",280.75,0,1,1.375640543887e-14
"5",281,0,1,7.63170569058333e-15
"6",281.25,0,1,4.13905537028446e-15
"7",281.5,0,1,2.19195335570024e-15
"8",281.75,0,1,1.13204888768732e-15
"9",282,0,1,5.69402448066467e-16
"10",282.25,0,1,2.78528935200689e-16
"11",282.5,0,1,1.32297457375609e-16
"12",282.75,0,1,6.09185216312705e-17
"13",283,0,1,2.71456046668147e-17
"14",283.25,0,1,1.16837514492479e-17
"15",283.5,0,1,4.84750247147199e-18
"16",283.75,0,1,1.93446743495656e-18
"17",284,0,1,7.40791180124359e-19
"18",284.25,0,1,2.7153545916492e-19
"19",284.5,0,1,9.50109804958262e-20
"20",284.75,0,1,3.16420322918523e-20
"21",285,0,1,9.99822233816458e-21
"22",285.25,0,1,2.98717940465717e-21
"23",285.5,0,1,8.4075357113119e-22
"24",285.75,0,1,2.22022981629479e-22
"25",286,0,1,5.47711643536254e-23
"26",286.25,0,1,1.25622910833762e-23
"27",286.5,0,1,2.66503013577734e-24
"28",286.75,0,1,5.20001471702394e-25
"29",287,0,1,9.27472329787243e-26
"30",287.25,0,1,1.50199273195758e-26
"31",287.5,0,1,2.19231613600423e-27
"32",287.75,0,1,2.86081558010161e-28
"33",288,0,1,3.30800067688456e-29
"34",288.25,0,1,3.35643472868604e-30
"35",288.5,0,1,2.95618247222282e-31
"36",288.75,0,1,2.23325904646407e-32
"37",289,0,1,1.42809403942164e-33
"38",289.25,0,1,7.617486762409e-35
"39",289.5,0,1,3.33430812134705e-36
"40",289.75,0,1,1.17607724736989e-37
"41",290,0,1,3.2754257986488e-39
"42",290.25,0,1,7.04063090071584e-41
"43",290.5,0,1,1.13852322862746e-42
"44",290.75,0,1,1.34569935132169e-44
"45",291,0,1,1.12537090811058e-46
"46",291.25,0,1,6.41780875598993e-49
"47",291.5,0,1,2.39337600573795e-51
"48",291.75,0,1,5.55669782791676e-54
"49",292,0,1,7.62463160119579e-57
"50",280,0.025,1,0
"51",280.25,0.025,1,0
"52",280.5,0.025,1,0
"53",280.75,0.025,1,0
"54",281,0.025,1,0
"55",281.25,0.025,1,0
"56",281.5,0.025,1,0
"57",281.75,0.025,1,0
"58",282,0.025,1,0
"59",282.25,0.025,1,0
"60",282.5,0.025,1,0
"61",282.75,0.025,1,0
"62",283,0.025,1,0
"63",283.25,0.025,1,0
"64",283.5,0.025,1,0
"65",283.75,0.025,1,0
"66",284,0.025,1,0
"67",284.25,0.025,1,0
"68",284.5,0.025,1,0
"69",284.75,0.025,1,0
"70",285,0.025,1,0
"71",285.25,0.025,1,0
"72",285.5,0.025,1,0
"73",285.75,0.025,1,0
"74",286,0.025,1,0
"75",286.25,0.025,1,0
"76",286.5,0.025,1,0
"77",286.75,0.025,1,0
"78",287,0.025,1,0
"79",287.25,0.025,1,0
"80",287.5,0.025,1,0
"81",287.75,0.025,1,0
"82",288,0.025,1,0
"83",288.25,0.025,1,0
"84",288.5,0.025,1,0
"85",288.75,0.025,1,0
"86",289,0.025,1,0
"87",289.25,0.025,1,0
"88",289.5,0.025,1,0
"89",289.75,0.025,1,0
"90",290,0.025,1,0
"91",290.25,0.025,1,0
"92",290.5,0.025,1,0
"93",290.75,0.025,1,0
"94",291,0.025,1,0
"95",291.25,0.025,1,0
"96",291.5,0.025,1,1.08648987653226e-13
"97",291.75,0.025,1,4.98766316471708e-14
"98",292,0.025,1,2.17397717735891e-14
"99",280,0.05,1,0.0870929670197386
"100",280.25,0.05,1,0.0834461300149226
"101",280.5,0.05,1,0.0798983329184794
"102",280.75,0.05,1,0.0764493199579452
"103",281,0.05,1,0.0730987359649883
"104",281.25,0.05,1,0.0698461275931796
"105",281.5,0.05,1,0.0666909447627549
"106",281.75,0.05,1,0.0636325423297356
"107",282,0.05,1,0.0606701819758859
"108",282.25,0.05,1,0.0578030343150941
"109",282.5,0.05,1,0.0550301812108744
"110",282.75,0.05,1,0.0523506182987969
"111",283,0.05,1,0.0497632577067849
"112",283.25,0.05,1,0.04726693096535
"113",283.5,0.05,1,0.0448603920990035
"114",283.75,0.05,1,0.0425423208892648
"115",284,0.05,1,0.0403113262989057
"116",284.25,0.05,1,0.0381659500463238
"117",284.5,0.05,1,0.0361046703182348
"118",284.75,0.05,1,0.0341259056082171
"119",285,0.05,1,0.0322280186680432
"120",285.25,0.05,1,0.0304093205581857
"121",285.5,0.05,1,0.0286680747834159
"122",285.75,0.05,1,0.0270025014989956
