"T","kappa","Y","Lambda"
"143",283,0.05,1,0.0497362076081674
"144",283.25,0.05,1,0.0472413265296642
"145",283.5,0.05,1,0.044836181998254
"146",283.75,0.05,1,0.0425194542425671
"147",284,0.05,1,0.0402897527028072
"148",284.25,0.05,1,0.0381456196064296
"149",284.5,0.05,1,0.0360855336825511
"150",284.75,0.05,1,0.0341079140025972
"151",285,0.05,1,0.0322111239340674
"152",285.25,0.05,1,0
"153",285.5,0.05,1,0
"154",285.75,0.05,1,0
"155",286,0.05,1,0
"156",286.25,0.05,1,0
"157",286.5,0.05,1,0
"158",286.75,0.05,1,0
"159",287,0.05,1,0
"160",287.25,0.05,1,0
"161",287.5,0.05,1,0
"162",287.75,0.05,1,0
"163",288,0.05,1,0
"164",288.25,0.05,1,0
"165",288.5,0.05,1,0
"166",288.75,0.05,1,0
"167",289,0.05,1,0
"168",289.25,0.05,1,0
"169",289.5,0.05,1,0
"170",289.75,0.05,1,0
"171",290,0.05,1,0
"172",290.25,0.05,1,0
"173",290.5,0.05,1,0
"174",290.75,0.05,1,0
"175",291,0.05,1,0
"176",291.25,0.05,1,0
"177",291.5,0.05,1,1.07387928819152e-13
"178",291.75,0.05,1,4.63894089766382e-14
"179",292,0.05,1,1.93316446540169e-14
"180",292.25,0.05,1,7.77434906085201e-15
"181",292.5,0.05,1,3.0190601523797e-15
"182",292.75,0.05,1,1.13310246332418e-15
"183",293,0.05,1,4.11474076302509e-16
"184",278,0.075,1,0.119746116190901
"185",278.25,0.075,1,0.115312675460703
"186",278.5,0.075,1,0.110976629863626
"187",278.75,0.075,1,0.106738534862798
"188",279,0.075,1,0.102598845015
"189",279.25,0.075,1,0.0985579133764838
"190",279.5,0.075,1,0.0946159911261871
"191",279.75,0.075,1,0.0907732274101731
"192",280,0.075,1,0.0870296694104711
"193",280.25,0.075,1,0.0833852626407259
"194",280.5,0.075,1,0.0798398514703097
"195",280.75,0.075,1,0.0763931798777621
"196",281,0.075,1,0.0730448924336109
"197",281.25,0.075,1,0.0697945355118065
"198",281.5,0.075,1,0.0666415587281568
"199",281.75,0.075,1,0.0635853166033054
"200",282,0.075,1,0.0606250704469328
"201",282.25,0.075,1,0.0577599904590021
"202",282.5,0.075,1,0.0549891580430056
"203",282.75,0.075,1,0.0523115683253029
"204",283,0.075,1,0.0497261328737839
"205",283.25,0.075,1,0.0472316826082295
"206",283.5,0.075,1,0.0448269708938969
"207",283.75,0.075,1,0.0425106768090137
"208",284,0.075,1,0.0402814085760379
"209",284.25,0.075,1,0.0381377071457288
"210",284.5,0.075,1,0.0360780499222833
"211",284.75,0.075,1,0.0341008546170285
"212",285,0.075,1,0.0322044832174399
"213",285.25,0.075,1,0.0303872460575701
"214",285.5,0.075,1,0.0286474059753629
"215",285.75,0.075,1,0.0269831825417786
"216",286,0.075,1,0.0253927563462051
"217",286.25,0.075,1,0.0238742733222784
"218",286.5,0.075,1,0.0224258490980056
"219",286.75,0.075,1,0.0210455733539772
"220",287,0.075,1,0.0197315141734927
"221",287.25,0.075,1,0.0184817223685909
"222",287.5,0.075,1,0.0172942357662895
"223",287.75,0.075,1,0.0161670834397714
"224",288,0.075,1,0.0150982898698078
"225",288.25,0.075,1,0.0140858790223572
"226",288.5,0.075,1,0.0131278783290018
"227",288.75,0.075,1,0.0122223225576707
"228",289,0.075,1,0.011367257561912
"229",289.25,0.075,1,0
"230",289.5,0.075,1,0
"231",289.75,0.075,1,0
"232",290,0.075,1,0
"233",290.25,0.075,1,0
"234",290.5,0.075,1,0
"235",290.75,0.075,1,0
"236",291,0.075,1,0
"237",291.25,0.075,1,0
"238",291.5,0.075,1,0
