"T","kappa","Y","Lambda"
"1",284,0.8,1,0.829698621626955
"2",284.25,0.8,1,0.837365843401784
"3",284.5,0.8,1,0.845201198316586
"4",284.75,0.8,1,0.853318544342382
"5",285,0.8,1,0.861546005222011
"6",285.25,0.8,1,0.870017204604491
"7",285.5,0.8,1,0.878432037793072
"8",285.75,0.8,1,0.886818939797753
"9",286,0.8,1,0.895054490269784
"10",286.25,0.8,1,0.903068649266025
"11",286.5,0.8,1,0.910665910791135
"12",286.75,0.8,1,0.917726564513098
"13",287,0.8,1,0.924153147815148
"14",287.25,0.8,1,0.929729910715036
"15",287.5,0.8,1,0.934289922916867
"16",287.75,0.8,1,0.937861009163925
"17",288,0.8,1,0.940236052821166
"18",288.25,0.8,1,0.941283391224828
"19",288.5,0.8,1,0.941035148552432
"20",288.75,0.8,1,0.939440930509121
"21",289,0.8,1,0.93661399078642
"22",289.25,0.8,1,0.932527499503964
"23",289.5,0.8,1,0.92739218002823
"24",289.75,0.8,1,0.921268529985979
"25",290,0.8,1,0.914184631230419
"26",290.25,0.8,1,0.906420828763769
"27",290.5,0.8,1,0.897961290496776
"28",290.75,0.8,1,0.888984579234496
"29",291,0.8,1,0.879417606630652
"30",291.25,0.8,1,0.86866986709574
"31",291.5,0.8,1,0.853503257927208
"32",291.75,0.8,1,0.827085949251451
"33",292,0.8,1,0.784796297079696
"34",292.25,0.8,1,0.736625833989475
"35",292.5,0.8,1,0.696905643803579
"36",292.75,0.8,1,0.667365820290384
"37",293,0.8,1,0.642141895790161
"38",293.25,0.8,1,0.625015696389331
"39",293.5,0.8,1,0.59884103557304
"40",293.75,0.8,1,0.589411858123171
"41",294,0.8,1,0.577917250416253
"42",284,0.825,1,0.831264174715619
"43",284.25,0.825,1,0.839847715350199
"44",284.5,0.825,1,0.847660891994719
"45",284.75,0.825,1,0.856311514015762
"46",285,0.825,1,0.865207568556379
"47",285.25,0.825,1,0.875252856120659
"48",285.5,0.825,1,0.883286241595378
"49",285.75,0.825,1,0.892354173997269
"50",286,0.825,1,0.901249050033057
"51",286.25,0.825,1,0.909970382845876
"52",286.5,0.825,1,0.918247527505003
"53",286.75,0.825,1,0.926037996042896
"54",287,0.825,1,0.933017577614795
"55",287.25,0.825,1,0.939115427682559
"56",287.5,0.825,1,0.94410372747211
"57",287.75,0.825,1,0.947848149929237
"58",288,0.825,1,0.950184141100345
"59",288.25,0.825,1,0.951056953795308
"60",288.5,0.825,1,0.950437784580228
"61",288.75,0.825,1,0.94831146122579
"62",289,0.825,1,0.944689359418088
"63",289.25,0.825,1,0.939934163247519
"64",289.5,0.825,1,0.933888660202521
"65",289.75,0.825,1,0.926866112150883
"66",290,0.825,1,0.918969875942208
"67",290.25,0.825,1,0.91033069521908
"68",290.5,0.825,1,0.901121354229816
"69",290.75,0.825,1,0.891424739267487
"70",291,0.825,1,0.881271582024034
"71",291.25,0.825,1,0.870781378934851
"72",291.5,0.825,1,0.859256603466881
"73",291.75,0.825,1,0.843085770854541
"74",292,0.825,1,0.814409967628244
"75",292.25,0.825,1,0.769625935614728
"76",292.5,0.825,1,0.722319066417507
"77",292.75,0.825,1,0.68336410554485
"78",293,0.825,1,0.650302091313881
"79",293.25,0.825,1,0.634627143778723
"80",293.5,0.825,1,0.617449837956508
"81",293.75,0.825,1,0.602819716411018
"82",294,0.825,1,0.587626115750361
"83",284,0.85,1,0.832765020294857
"84",284.25,0.85,1,0.841406287291313
"85",284.5,0.85,1,0.850335942120568
"86",284.75,0.85,1,0.859567936013262
"87",285,0.85,1,0.869064719701013
"88",285.25,0.85,1,0.878760398747132
"89",285.5,0.85,1,0.888488886832853
"90",285.75,0.85,1,0.898125168104081
"91",286,0.85,1,0.907673862303911
"92",286.25,0.85,1,0.917040684139215
"93",286.5,0.85,1,0.92596897893328
"94",286.75,0.85,1,0.934400911250006
"95",287,0.85,1,0.942101883904462
"96",287.25,0.85,1,0.948827767096598
"97",287.5,0.85,1,0.954313836816972
"98",287.75,0.85,1,0.958462333243503
"99",288,0.85,1,0.961059665555772
"100",288.25,0.85,1,0.962033549056102
"101",288.5,0.85,1,0.961343025842028
"102",288.75,0.85,1,0.958813980259304
"103",289,0.85,1,0.954362095842234
"104",289.25,0.85,1,0.948474299494149
"105",289.5,0.85,1,0.941313437375865
"106",289.75,0.85,1,0.93309289484971
"107",290,0.85,1,0.924057982995146
"108",290.25,0.85,1,0.914376224073907
"109",290.5,0.85,1,0.904167317404765
"110",290.75,0.85,1,0.893601537881288
"111",291,0.85,1,0.882782814081642
"112",291.25,0.85,1,0.871668328162336
"113",291.5,0.85,1,0.860306259508429
"114",291.75,0.85,1,0.847886000702863
"115",292,0.85,1,0.830522902218685
"116",292.25,0.85,1,0.798593531765544
"117",292.5,0.85,1,0.751400120736017
"118",292.75,0.85,1,0.70759943276837
"119",293,0.85,1,0.66895371714645
"120",293.25,0.85,1,0.638564965575144
"121",293.5,0.85,1,0.624989068315602
"122",293.75,0.85,1,0.604267556038348
"123",294,0.85,1,0.598044014914183
"124",284,0.875,1,0.834414563300291
"125",284.25,0.875,1,0.843530229642479
"126",284.5,0.875,1,0.853040854046149
"127",284.75,0.875,1,0.862631945261144
"128",285,0.875,1,0.872353912896652
"129",285.25,0.875,1,0.882384133123013
"130",285.5,0.875,1,0.892561675437899
"131",285.75,0.875,1,0.903050108789853
"132",286,0.875,1,0.913490206001355
"133",286.25,0.875,1,0.923743866767057
"134",286.5,0.875,1,0.933462279650514
"135",286.75,0.875,1,0.943117282131484
"136",287,0.875,1,0.951324749238075
"137",287.25,0.875,1,0.958953391595104
"138",287.5,0.875,1,0.965164126343619
"139",287.75,0.875,1,0.969772765745147
"140",288,0.875,1,0.972418912386894
"141",288.25,0.875,1,0.973066133351357
"142",288.5,0.875,1,0.972421064823629
"143",288.75,0.875,1,0.969515859398923
"144",289,0.875,1,0.964868762178459
"145",289.25,0.875,1,0.95842198806216
"146",289.5,0.875,1,0.950005599875232
"147",289.75,0.875,1,0.9403156179827
"148",290,0.875,1,0.929814954819643
"149",290.25,0.875,1,0.918753303206396
"150",290.5,0.875,1,0.907337239316113
"151",290.75,0.875,1,0.895718614924593
"152",291,0.875,1,0.883895747015807
"153",291.25,0.875,1,0.872055704956079
"154",291.5,0.875,1,0.859855677085927
"155",291.75,0.875,1,0.847591617242844
"156",292,0.875,1,0.834660675071096
"157",292.25,0.875,1,0.815192335211662
"158",292.5,0.875,1,0.778943128625393
"159",292.75,0.875,1,0.731912347489674
"160",293,0.875,1,0.685660692385486
"161",293.25,0.875,1,0.654546641940661
"162",293.5,0.875,1,0.62511934862189
"163",293.75,0.875,1,0.609923972662779
"164",294,0.875,1,0.596358845606212
"165",284,0.9,1,0.83575518949326
"166",284.25,0.9,1,0.84468995186644
"167",284.5,0.9,1,0.854269912997841
"168",284.75,0.9,1,0.86385641657086
"169",285,0.9,1,0.874086512737346
"170",285.25,0.9,1,0.885090110071047
"171",285.5,0.9,1,0.896330558654873
"172",285.75,0.9,1,0.907755486934732
"173",286,0.9,1,0.918988642677273
"174",286.25,0.9,1,0.930190377368578
"175",286.5,0.9,1,0.941664440662736
"176",286.75,0.9,1,0.951679781902703
"177",287,0.9,1,0.960883813438887
"178",287.25,0.9,1,0.969566192617638
"179",287.5,0.9,1,0.976564254292563
"180",287.75,0.9,1,0.981460721590539
"181",288,0.9,1,0.984502644633996
"182",288.25,0.9,1,0.98514661178245
"183",288.5,0.9,1,0.983115054871258
"184",288.75,0.9,1,0.980515134859917
"185",289,0.9,1,0.974486684543796
"186",289.25,0.9,1,0.967557941278978
"187",289.5,0.9,1,0.958836460355244
"188",289.75,0.9,1,0.948624628952231
"189",290,0.9,1,0.936470431595688
"190",290.25,0.9,1,0.92364820781385
"191",290.5,0.9,1,0.91069089952212
"192",290.75,0.9,1,0.897751717072732
"193",291,0.9,1,0.884520635325859
"194",291.25,0.9,1,0.872068848508774
"195",291.5,0.9,1,0.859405372126664
"196",291.75,0.9,1,0.846798003556345
