"T","kappa","Y","Lambda"
"1",284,0.8,1,1.82468610883639
"2",284.25,0.8,1,1.84037511988842
"3",284.5,0.8,1,1.85568858813934
"4",284.75,0.8,1,1.87006572355692
"5",285,0.8,1,1.88228363297562
"6",285.25,0.8,1,1.89359892492549
"7",285.5,0.8,1,1.90374074772392
"8",285.75,0.8,1,1.91218478565312
"9",286,0.8,1,1.91953241703228
"10",286.25,0.8,1,1.92356456897785
"11",286.5,0.8,1,1.92571970869667
"12",286.75,0.8,1,1.92582440348634
"13",287,0.8,1,1.92363434846611
"14",287.25,0.8,1,1.91752217548495
"15",287.5,0.8,1,1.90882691611373
"16",287.75,0.8,1,1.89758522599679
"17",288,0.8,1,1.88193453141171
"18",288.25,0.8,1,1.86365137549835
"19",288.5,0.8,1,1.84141931013512
"20",288.75,0.8,1,1.81621819411474
"21",289,0.8,1,1.78716025581547
"22",289.25,0.8,1,1.75390773496378
"23",289.5,0.8,1,1.72194074804476
"24",289.75,0.8,1,1.68986968944547
"25",290,0.8,1,1.65508371460135
"26",290.25,0.8,1,1.61732857552447
"27",290.5,0.8,1,1.5763843561867
"28",290.75,0.8,1,1.53265450186858
"29",291,0.8,1,1.48158982275034
"30",291.25,0.8,1,1.41090472521788
"31",291.5,0.8,1,1.30636800623931
"32",291.75,0.8,1,1.17140678076854
"33",292,0.8,1,1.04190942167177
"34",292.25,0.8,1,0.940608048783364
"35",292.5,0.8,1,0.865307130790664
"36",292.75,0.8,1,0.799089315809793
"37",293,0.8,1,0.73523763593196
"38",293.25,0.8,1,0.662296629527241
"39",293.5,0.8,1,0.581306911259828
"40",293.75,0.8,1,0.47288247705827
"41",294,0.8,1,0.449005971282602
"42",284,0.825,1,1.81218088340482
"43",284.25,0.825,1,1.82805212297815
"44",284.5,0.825,1,1.84209737266629
"45",284.75,0.825,1,1.85646743525372
"46",285,0.825,1,1.86900586561384
"47",285.25,0.825,1,1.88162451526033
"48",285.5,0.825,1,1.89202873519035
"49",285.75,0.825,1,1.90115564636417
"50",286,0.825,1,1.90734541825992
"51",286.25,0.825,1,1.91282395808095
"52",286.5,0.825,1,1.91569592733063
"53",286.75,0.825,1,1.91567241239674
"54",287,0.825,1,1.91267301076862
"55",287.25,0.825,1,1.90777352050101
"56",287.5,0.825,1,1.89965185351653
"57",287.75,0.825,1,1.88697426062811
"58",288,0.825,1,1.87292669935405
"59",288.25,0.825,1,1.85479380934463
"60",288.5,0.825,1,1.83279572560861
"61",288.75,0.825,1,1.80783821341962
"62",289,0.825,1,1.77920451087549
"63",289.25,0.825,1,1.74819412960003
"64",289.5,0.825,1,1.7131388618517
"65",289.75,0.825,1,1.67616039409053
"66",290,0.825,1,1.64203921604121
"67",290.25,0.825,1,1.60526676317149
"68",290.5,0.825,1,1.56605073440713
"69",290.75,0.825,1,1.52415078704247
"70",291,0.825,1,1.47969672929498
"71",291.25,0.825,1,1.42781803677374
"72",291.5,0.825,1,1.35606175115842
"73",291.75,0.825,1,1.24863040045885
"74",292,0.825,1,1.11369507706847
"75",292.25,0.825,1,0.990660633036476
"76",292.5,0.825,1,0.897839339678439
"77",292.75,0.825,1,0.82475003918921
"78",293,0.825,1,0.760372432042337
"79",293.25,0.825,1,0.68874027601015
"80",293.5,0.825,1,0.620672560087175
"81",293.75,0.825,1,0.529125276160759
"82",294,0.825,1,0.464432519187596
"83",284,0.85,1,1.79205787606948
"84",284.25,0.85,1,1.80768282338158
"85",284.5,0.85,1,1.82220654956542
"86",284.75,0.85,1,1.83672326339401
"87",285,0.85,1,1.84966362530581
"88",285.25,0.85,1,1.86163294980743
"89",285.5,0.85,1,1.87321553333982
"90",285.75,0.85,1,1.88157973497592
"91",286,0.85,1,1.88949753670084
"92",286.25,0.85,1,1.8944281263316
"93",286.5,0.85,1,1.89812207036974
"94",286.75,0.85,1,1.89874633747806
"95",287,0.85,1,1.8960836107161
"96",287.25,0.85,1,1.89112313111316
"97",287.5,0.85,1,1.88306225558828
"98",287.75,0.85,1,1.87169110059499
"99",288,0.85,1,1.85623927742576
"100",288.25,0.85,1,1.83825218303899
"101",288.5,0.85,1,1.81723506590155
"102",288.75,0.85,1,1.79234938522643
"103",289,0.85,1,1.76398167253055
"104",289.25,0.85,1,1.7332790141847
"105",289.5,0.85,1,1.70013562636521
"106",289.75,0.85,1,1.66283261926265
"107",290,0.85,1,1.62350367469766
"108",290.25,0.85,1,1.58687434642208
"109",290.5,0.85,1,1.5485982894622
"110",290.75,0.85,1,1.50839496072442
"111",291,0.85,1,1.46545973659153
"112",291.25,0.85,1,1.4207389984856
"113",291.5,0.85,1,1.36772855324262
"114",291.75,0.85,1,1.29332498019166
"115",292,0.85,1,1.18148578482729
"116",292.25,0.85,1,1.04918113550419
"117",292.5,0.85,1,0.93585452247872
"118",292.75,0.85,1,0.849343165930695
"119",293,0.85,1,0.780422976963022
"120",293.25,0.85,1,0.719056901548791
"121",293.5,0.85,1,0.650529505609277
"122",293.75,0.85,1,0.549523734778602
"123",294,0.85,1,0.47581470391357
"124",284,0.875,1,1.76506566700461
"125",284.25,0.875,1,1.78011034958729
"126",284.5,0.875,1,1.79535417980566
"127",284.75,0.875,1,1.80941081599234
"128",285,0.875,1,1.82339258887963
"129",285.25,0.875,1,1.83592281736548
"130",285.5,0.875,1,1.84724523558971
"131",285.75,0.875,1,1.85709292582248
"132",286,0.875,1,1.86449840232974
"133",286.25,0.875,1,1.87101088095793
"134",286.5,0.875,1,1.87428649762524
"135",286.75,0.875,1,1.87519099783251
"136",287,0.875,1,1.87306181807317
"137",287.25,0.875,1,1.86781176482644
"138",287.5,0.875,1,1.85928198617746
"139",287.75,0.875,1,1.84765175758108
"140",288,0.875,1,1.83301519007442
"141",288.25,0.875,1,1.81435351669804
"142",288.5,0.875,1,1.79329955978547
"143",288.75,0.875,1,1.76817294170092
"144",289,0.875,1,1.74092515428168
"145",289.25,0.875,1,1.71011609190434
"146",289.5,0.875,1,1.67751261937461
"147",289.75,0.875,1,1.6417974764081
"148",290,0.875,1,1.60360300255277
"149",290.25,0.875,1,1.56300778254828
"150",290.5,0.875,1,1.52428899872773
"151",290.75,0.875,1,1.48516812075946
"152",291,0.875,1,1.44425085207986
"153",291.25,0.875,1,1.40084869986145
"154",291.5,0.875,1,1.3558578858692
"155",291.75,0.875,1,1.30146815219165
"156",292,0.875,1,1.22249805688364
"157",292.25,0.875,1,1.10665966641148
"158",292.5,0.875,1,0.98024690446255
"159",292.75,0.875,1,0.879592948223797
"160",293,0.875,1,0.802601347781891
"161",293.25,0.875,1,0.740030214636293
"162",293.5,0.875,1,0.67200072837574
"163",293.75,0.875,1,0.58977007137386
"164",294,0.875,1,0.495803346881566
"165",284,0.9,1,1.73004663538649
"166",284.25,0.9,1,1.74517650813733
"167",284.5,0.9,1,1.76060290935881
"168",284.75,0.9,1,1.77536377683055
"169",285,0.9,1,1.78976233582184
"170",285.25,0.9,1,1.80288031134024
"171",285.5,0.9,1,1.81437428066536
"172",285.75,0.9,1,1.8247037852157
"173",286,0.9,1,1.83248648428628
"174",286.25,0.9,1,1.83933622240391
"175",286.5,0.9,1,1.84306108047322
"176",286.75,0.9,1,1.84414365543847
"177",287,0.9,1,1.84247480224399
"178",287.25,0.9,1,1.83702775556766
"179",287.5,0.9,1,1.82917579307485
"180",287.75,0.9,1,1.81687394292534
"181",288,0.9,1,1.80140615914503
"182",288.25,0.9,1,1.78276750457764
"183",288.5,0.9,1,1.7608372300755
"184",288.75,0.9,1,1.73612876795828
"185",289,0.9,1,1.70849445370099
"186",289.25,0.9,1,1.67783230880264
"187",289.5,0.9,1,1.64506284848284
"188",289.75,0.9,1,1.61004606527093
"189",290,0.9,1,1.57335226985846
"190",290.25,0.9,1,1.53407235374844
"191",290.5,0.9,1,1.49333133039336
"192",290.75,0.9,1,1.4540259120343
"193",291,0.9,1,1.41438373149302
"194",291.25,0.9,1,1.37303494341502
"195",291.5,0.9,1,1.33019762946845
"196",291.75,0.9,1,1.28479480303293
"197",292,0.9,1,1.22822201865946
"198",292.25,0.9,1,1.14355952251003
"199",292.5,0.9,1,1.02562645767142
"200",292.75,0.9,1,0.911710984980994
"201",293,0.9,1,0.822503624474037
"202",293.25,0.9,1,0.754181868255629
"203",293.5,0.9,1,0.685110339273782
"204",293.75,0.9,1,0.617980802379657
"205",294,0.9,1,0.542298685873013
"206",284,0.925,1,1.68734574886873
"207",284.25,0.925,1,1.70280791564505
"208",284.5,0.925,1,1.71834264190552
"209",284.75,0.925,1,1.73311663038283
"210",285,0.925,1,1.7472303641822
"211",285.25,0.925,1,1.76065900565236
"212",285.5,0.925,1,1.77252846712329
"213",285.75,0.925,1,1.78262451639581
"214",286,0.925,1,1.79087613269538
"215",286.25,0.925,1,1.79761615884978
"216",286.5,0.925,1,1.80207218146829
"217",286.75,0.925,1,1.80289728451663
"218",287,0.925,1,1.80086195377126
"219",287.25,0.925,1,1.79601317113294
"220",287.5,0.925,1,1.78757131069
"221",287.75,0.925,1,1.7760613934968
"222",288,0.925,1,1.76082318504206
"223",288.25,0.925,1,1.74165816826667
"224",288.5,0.925,1,1.71963024727897
"225",288.75,0.925,1,1.69447623496838
"226",289,0.925,1,1.66615919688642
"227",289.25,0.925,1,1.63565148140698
"228",289.5,0.925,1,1.60300187578081
"229",289.75,0.925,1,1.56869849254696
"230",290,0.925,1,1.53230075865313
"231",290.25,0.925,1,1.49462169752602
"232",290.5,0.925,1,1.45532273205738
"233",290.75,0.925,1,1.41449147644383
"234",291,0.925,1,1.37560306211049
"235",291.25,0.925,1,1.33580887880954
"236",291.5,0.925,1,1.29475090140923
"237",291.75,0.925,1,1.25262048360586
"238",292,0.925,1,1.20680054001754
"239",292.25,0.925,1,1.14715330005499
"240",292.5,0.925,1,1.05657551402443
"241",292.75,0.925,1,0.942598212599344
"242",293,0.925,1,0.840920784054966
"243",293.25,0.925,1,0.763029370055696
"244",293.5,0.925,1,0.70156003865649
"245",293.75,0.925,1,0.635178953572905
"246",294,0.925,1,0.553678207505122
"247",284,0.95,1,1.63231652319389
"248",284.25,0.95,1,1.64822636487845
"249",284.5,0.95,1,1.66314815673058
"250",284.75,0.95,1,1.67858133466418
"251",285,0.95,1,1.69255657140889
"252",285.25,0.95,1,1.70542639715484
"253",285.5,0.95,1,1.71690690551092
"254",285.75,0.95,1,1.72675077452396
"255",286,0.95,1,1.73547619859266
"256",286.25,0.95,1,1.74252217031576
"257",286.5,0.95,1,1.74586415287982
"258",286.75,0.95,1,1.74604725947654
"259",287,0.95,1,1.74490137350077
"260",287.25,0.95,1,1.73985807459478
"261",287.5,0.95,1,1.73223112238882
"262",287.75,0.95,1,1.72086320911475
"263",288,0.95,1,1.70608516905592
"264",288.25,0.95,1,1.68788434566303
"265",288.5,0.95,1,1.66623812927279
"266",288.75,0.95,1,1.64114403623168
"267",289,0.95,1,1.6129248665884
"268",289.25,0.95,1,1.58253286811069
"269",289.5,0.95,1,1.54994514432469
"270",289.75,0.95,1,1.5155385742182
"271",290,0.95,1,1.4799427426617
"272",290.25,0.95,1,1.44335292602589
"273",290.5,0.95,1,1.40535452492142
"274",290.75,0.95,1,1.36635901950736
"275",291,0.95,1,1.32648538750293
"276",291.25,0.95,1,1.28803209410245
"277",291.5,0.95,1,1.24857836778533
"278",291.75,0.95,1,1.20815116073873
"279",292,0.95,1,1.16676492162011
"280",292.25,0.95,1,1.12018098835726
"281",292.5,0.95,1,1.05645725781478
"282",292.75,0.95,1,0.961338431315544
"283",293,0.95,1,0.855306717527281
"284",293.25,0.95,1,0.773899731494664
"285",293.5,0.95,1,0.708299637090384
"286",293.75,0.95,1,0.641036783044023
"287",294,0.95,1,0.578618133852303
"288",284,0.975,1,1.56858653758308
"289",284.25,0.975,1,1.58245901757545
"290",284.5,0.975,1,1.59659077168606
"291",284.75,0.975,1,1.61039649344611
"292",285,0.975,1,1.62299892593676
"293",285.25,0.975,1,1.63598329221624
"294",285.5,0.975,1,1.64723009724584
"295",285.75,0.975,1,1.65702058871769
"296",286,0.975,1,1.66361105244961
"297",286.25,0.975,1,1.66741473140665
"298",286.5,0.975,1,1.66898851244543
"299",286.75,0.975,1,1.66901363011672
"300",287,0.975,1,1.66965085790043
"301",287.25,0.975,1,1.66397278410653
"302",287.5,0.975,1,1.65789589509576
"303",287.75,0.975,1,1.64697923512127
"304",288,0.975,1,1.63397070152378
"305",288.25,0.975,1,1.61764230618956
"306",288.5,0.975,1,1.59736889132647
"307",288.75,0.975,1,1.57348118195534
"308",289,0.975,1,1.54642677669974
"309",289.25,0.975,1,1.51665021803523
"310",289.5,0.975,1,1.48454177873435
"311",289.75,0.975,1,1.45068576186932
"312",290,0.975,1,1.4154925286892
"313",290.25,0.975,1,1.37944285132596
"314",290.5,0.975,1,1.34254641131446
"315",290.75,0.975,1,1.30508225072772
"316",291,0.975,1,1.26688992127537
"317",291.25,0.975,1,1.22821530000275
"318",291.5,0.975,1,1.18985728291771
"319",291.75,0.975,1,1.15076137094987
"320",292,0.975,1,1.11107693588032
"321",292.25,0.975,1,1.06991658724549
"322",292.5,0.975,1,1.02165488755099
"323",292.75,0.975,1,0.953250115236839
"324",293,0.975,1,0.85977127971956
"325",293.25,0.975,1,0.774664400638762
"326",293.5,0.975,1,0.703486952979652
"327",293.75,0.975,1,0.64858312589944
"328",294,0.975,1,0.58763075625947
"329",284,1,1,1.48318508580258
"330",284.25,1,1,1.49766492187232
"331",284.5,1,1,1.5112890807123
"332",284.75,1,1,1.52371772896106
"333",285,1,1,1.53474816709626
"334",285.25,1,1,1.54418535637747
"335",285.5,1,1,1.55193541082735
"336",285.75,1,1,1.55785698853054
"337",286,1,1,1.5619530057106
"338",286.25,1,1,1.56474020014231
"339",286.5,1,1,1.57070766872971
"340",286.75,1,1,1.57562815066159
"341",287,1,1,1.57168224722926
"342",287.25,1,1,1.56521571859263
"343",287.5,1,1,1.56378966656901
"344",287.75,1,1,1.55253282123921
"345",288,1,1,1.54294301715325
"346",288.25,1,1,1.52897422570023
"347",288.5,1,1,1.51216703728463
"348",288.75,1,1,1.49100847907481
"349",289,1,1,1.4659674524493
"350",289.25,1,1,1.43772461460538
"351",289.5,1,1,1.40687068252755
"352",289.75,1,1,1.37395333910812
"353",290,1,1,1.33951012681765
"354",290.25,1,1,1.30407377187317
"355",290.5,1,1,1.2679469107117
"356",290.75,1,1,1.23128648820168
"357",291,1,1,1.19409971079097
"358",291.25,1,1,1.15641582661896
"359",291.5,1,1,1.11799436166097
"360",291.75,1,1,1.07901717942542
"361",292,1,1,1.03915055064306
"362",292.25,1,1,0.997532021567656
"363",292.5,1,1,0.95508584496873
"364",292.75,1,1,0.901218681185694
"365",293,1,1,0.828567376944366
"366",293.25,1,1,0.75059571652803
"367",293.5,1,1,0.675333764226006
"368",293.75,1,1,0.615714686832506
"369",294,1,1,0.57369533450648
