"T","kappa","Y","Lambda"
"1",284,0.8,1,1.37883201495857
"2",284.25,0.8,1,1.40949911464464
"3",284.5,0.8,1,1.44033434860603
"4",284.75,0.8,1,1.47081745404577
"5",285,0.8,1,1.49981643887337
"6",285.25,0.8,1,1.52846489745013
"7",285.5,0.8,1,1.55650293385776
"8",285.75,0.8,1,1.58342147975646
"9",286,0.8,1,1.60974960631193
"10",286.25,0.8,1,1.63339712032533
"11",286.5,0.8,1,1.65565499500607
"12",286.75,0.8,1,1.67631229936957
"13",287,0.8,1,1.69508689301321
"14",287.25,0.8,1,1.71040529576854
"15",287.5,0.8,1,1.72343980375194
"16",287.75,0.8,1,1.73414935512469
"17",288,0.8,1,1.74072312075972
"18",288.25,0.8,1,1.74472152122555
"19",288.5,0.8,1,1.74483823748113
"20",288.75,0.8,1,1.74189888147448
"21",289,0.8,1,1.73498280816612
"22",289.25,0.8,1,1.72368270054047
"23",289.5,0.8,1,1.71307492101135
"24",289.75,0.8,1,1.7016900142554
"25",290,0.8,1,1.68722844924288
"26",290.25,0.8,1,1.66913433143523
"27",290.5,0.8,1,1.64718541111247
"28",290.75,0.8,1,1.62161130836926
"29",291,0.8,1,1.5877197557028
"30",291.25,0.8,1,1.53279132204332
"31",291.5,0.8,1,1.44152945590141
"32",291.75,0.8,1,1.31705359270142
"33",292,0.8,1,1.19662498524711
"34",292.25,0.8,1,1.10154466454012
"35",292.5,0.8,1,1.03182739886944
"36",292.75,0.8,1,0.967630295359148
"37",293,0.8,1,0.903453266867636
"38",293.25,0.8,1,0.82539795077777
"39",293.5,0.8,1,0.73516495102659
"40",293.75,0.8,1,0.608209220426759
"41",294,0.8,1,0.583275821837231
"42",284,0.825,1,1.37026366711736
"43",284.25,0.825,1,1.40101965327337
"44",284.5,0.825,1,1.43051828754505
"45",284.75,0.825,1,1.46100597333796
"46",285,0.825,1,1.49021662008472
"47",285.25,0.825,1,1.51997940219651
"48",285.5,0.825,1,1.54817759700165
"49",285.75,0.825,1,1.57564879236022
"50",286,0.825,1,1.60083669155769
"51",286.25,0.825,1,1.62575607043987
"52",286.5,0.825,1,1.64860878635377
"53",286.75,0.825,1,1.6690938612482
"54",287,0.825,1,1.68704761252119
"55",287.25,0.825,1,1.70342831592717
"56",287.5,0.825,1,1.71693216080477
