"V1"
"rho1",0.011
"rho2",0.83
"eps1",0.45
"eps2",0.59
"alpha",0.4
"sl",183
"T0",287
"k",8.617332e-05
"cIa",0
"cM",0
"EaI",0.58
"EaM",0.62
"EaS",0.47
"Td",291
"cId",0
"EdI",2.64
"mmin",1
"mmax",18000
"n",500
"dx",36.0701402805611
"e_m",0.00351388
"el_surv",0.00019
"kapfun",0.808875780888436
