"T","Kappa","Y","alpha","eps1","eps2","rho1","rho2","lam"
"81",282.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.00973795495038
"82",282.5,0.9,1,0.4,0.64,0.54,0.009,0.87,0.978785869688873
"83",282.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.928650251575473
"84",282.5,1,1,0.4,0.64,0.54,0.009,0.87,0.830432983617156
"85",283,0,1,0.4,0.64,0.54,0.009,0.87,0
"86",283,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"87",283,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0497370427977088
"88",283,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0496978061422857
"89",283,0.2,1,0.4,0.64,0.54,0.009,0.87,0.396114011339611
"90",283,0.25,1,0.4,0.64,0.54,0.009,0.87,0.471790962618992
"91",283,0.3,1,0.4,0.64,0.54,0.009,0.87,0.547179146433179
"92",283,0.35,1,0.4,0.64,0.54,0.009,0.87,0.627605282958824
"93",283,0.4,1,0.4,0.64,0.54,0.009,0.87,0.691710226298286
"94",283,0.45,1,0.4,0.64,0.54,0.009,0.87,0.737214444554986
"95",283,0.5,1,0.4,0.64,0.54,0.009,0.87,0.764129996292979
"96",283,0.55,1,0.4,0.64,0.54,0.009,0.87,0.797508523725914
"97",283,0.6,1,0.4,0.64,0.54,0.009,0.87,0.928991100468687
"98",283,0.65,1,0.4,0.64,0.54,0.009,0.87,1.06006764651737
"99",283,0.7,1,0.4,0.64,0.54,0.009,0.87,1.0638115973584
"100",283,0.75,1,0.4,0.64,0.54,0.009,0.87,1.0589174698499
"101",283,0.8,1,0.4,0.64,0.54,0.009,0.87,1.04680108836827
"102",283,0.85,1,0.4,0.64,0.54,0.009,0.87,1.02565141753705
"103",283,0.9,1,0.4,0.64,0.54,0.009,0.87,0.991684109128207
"104",283,0.95,1,0.4,0.64,0.54,0.009,0.87,0.936213288899573
"105",283,1,1,0.4,0.64,0.54,0.009,0.87,0.825096095815789
"106",283.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"107",283.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"108",283.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0448363112088755
"109",283.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0447986344165158
"110",283.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.296170726573066
"111",283.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.408338727076999
"112",283.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.497620092378809
"113",283.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.607837360668267
"114",283.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.687973153647594
"115",283.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.721717038394498
"116",283.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.754097448568389
"117",283.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.804065608813252
"118",283.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.00872772939843
"119",283.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.08063071042794
"120",283.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.08291703721028
"121",283.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.0778864672581
"122",283.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.06481966465079
"123",283.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.04200208700683
"124",283.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.00498561627628
"125",283.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.944199989713242
"126",283.5,1,1,0.4,0.64,0.54,0.009,0.87,0.819629740408961
"127",284,0,1,0.4,0.64,0.54,0.009,0.87,0
"128",284,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"129",284,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0402893983962953
"130",284,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0402536986232937
"131",284,0.2,1,0.4,0.64,0.54,0.009,0.87,0.28794637426211
"132",284,0.25,1,0.4,0.64,0.54,0.009,0.87,0.400228975802381
"133",284,0.3,1,0.4,0.64,0.54,0.009,0.87,0.497567683019881
"134",284,0.35,1,0.4,0.64,0.54,0.009,0.87,0.614016154877231
"135",284,0.4,1,0.4,0.64,0.54,0.009,0.87,0.665773887004906
"136",284,0.45,1,0.4,0.64,0.54,0.009,0.87,0.706120003442626
"137",284,0.5,1,0.4,0.64,0.54,0.009,0.87,0.746022528566898
"138",284,0.55,1,0.4,0.64,0.54,0.009,0.87,0.815800678289749
"139",284,0.6,1,0.4,0.64,0.54,0.009,0.87,1.06676729273485
"140",284,0.65,1,0.4,0.64,0.54,0.009,0.87,1.09940455837498
"141",284,0.7,1,0.4,0.64,0.54,0.009,0.87,1.10183241902676
"142",284,0.75,1,0.4,0.64,0.54,0.009,0.87,1.09661488567945
"143",284,0.8,1,0.4,0.64,0.54,0.009,0.87,1.08264374602807
"144",284,0.85,1,0.4,0.64,0.54,0.009,0.87,1.05825849745577
"145",284,0.9,1,0.4,0.64,0.54,0.009,0.87,1.01843509461137
"146",284,0.95,1,0.4,0.64,0.54,0.009,0.87,0.95244161806863
"147",284,1,1,0.4,0.64,0.54,0.009,0.87,0.814032547037803
"148",284.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"149",284.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"150",284.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0360848956483731
"151",284.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0360515884938206
"152",284.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.280048539188309
"153",284.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.393333932556349
"154",284.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.499830318757143
"155",284.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.616888965334273
"156",284.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.665141359141065
"157",284.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.691241619664802
"158",284.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.726194538203019
"159",284.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.846719964090877
"160",284.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.09886597539837
"161",284.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.11681659149176
"162",284.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.11966081562756
"163",284.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.11454597228677
"164",284.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.09996138819135
"165",284.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.07398656924889
"166",284.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.03164526771707
"167",284.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.960845859942179
"168",284.5,1,1,0.4,0.64,0.54,0.009,0.87,0.808303224128978
"169",285,0,1,0.4,0.64,0.54,0.009,0.87,0
"170",285,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"171",285,0.1,1,0.4,0.64,0.54,0.009,0.87,0.0322103741513844
"172",285,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0321798424911461
"173",285,0.2,1,0.4,0.64,0.54,0.009,0.87,0.272486565123841
"174",285,0.25,1,0.4,0.64,0.54,0.009,0.87,0.387430028037623
"175",285,0.3,1,0.4,0.64,0.54,0.009,0.87,0.447836363798742
"176",285,0.35,1,0.4,0.64,0.54,0.009,0.87,0.587387924634241
"177",285,0.4,1,0.4,0.64,0.54,0.009,0.87,0.643953219006996
"178",285,0.45,1,0.4,0.64,0.54,0.009,0.87,0.677956668225134
"179",285,0.5,1,0.4,0.64,0.54,0.009,0.87,0.723295958105494
